Structure,Cohen_d,n_patients,n_controls,population_size,hemisphere,NAVR,NAVR_II,NAVR_corrected,NAVR_corrected_II,correction,population_size_livingpark,Cohen_d_thresholded
R_isthmuscingulate,-0.07,1911,7663,9574,rh,0.2184653938129115,1.0235854279413277,0.004465457250700763,0.0847125327651817,0.0827605888602368,584,-0.07
R_lateraloccipital,0.01,1911,7663,9574,rh,0.1526839267879651,1.0115890378505457,0.003120876657127048,0.0837197044570715,0.0827605888602368,584,0.01
R_lateralorbitofrontal,-0.12,1911,7663,9574,rh,0.2955741158849632,1.04276749948451,0.006041568212987932,0.0863000523016547,0.0827605888602368,584,-0.12
R_lingual,-0.01,1911,7663,9574,rh,0.2610434941592119,1.033510380133093,0.005335758416455534,0.0855339276529819,0.0827605888602368,584,-0.01
R_medialorbitofrontal,-0.13,1911,7663,9574,rh,0.2374629973130645,1.0278077033632822,0.004853770405544616,0.0850619707654328,0.0827605888602368,584,-0.13
R_middletemporal,-0.09,1911,7663,9574,rh,0.1421137530783172,1.010047681455685,0.0029048211162053797,0.0835921408941893,0.0827605888602368,584,-0.09
R_parahippocampal,-0.06,1911,7663,9574,rh,0.1475454646038709,1.0108262284513456,0.0030158459114471843,0.0836565739020056,0.0827605888602368,584,-0.06
R_paracentral,-0.01,1911,7663,9574,rh,0.1965077196420784,1.0191247636471843,0.004016639918017674,0.0843433655614906,0.0827605888602368,584,-0.01
R_parsopercularis,-0.02,1911,7663,9574,rh,0.1842800518819023,1.0168378127910058,0.003766705012054498,0.0841540961619388,0.0827605888602368,584,-0.02
R_parsorbitalis,-0.07,1911,7663,9574,rh,0.2583572701375833,1.032835165470727,0.005280851694960501,0.0854780464899174,0.0827605888602368,584,-0.07
R_parstriangularis,-0.03,1911,7663,9574,rh,0.2348309682032626,1.0272027957649268,0.004799971434150156,0.0850119082563869,0.0827605888602368,584,-0.03
R_pericalcarine,0.08,1911,7663,9574,rh,0.2823649468492684,1.0391005549075556,0.005771571310427297,0.0859965738091481,0.0827605888602368,584,0.08
R_postcentral,0.03,1911,7663,9574,rh,0.1919447953904879,1.0182547836752334,0.003923373232488925,0.0842713655067153,0.0827605888602368,584,0.03
R_posteriorcingulate,-0.09,1911,7663,9574,rh,0.229542991757253,1.0260068153111217,0.004691884600120094,0.0849129282097646,0.0827605888602368,584,-0.09
R_precentral,-0.02,1911,7663,9574,rh,0.203213697138652,1.0204390264512426,0.004153710853200915,0.0844521347250715,0.0827605888602368,584,-0.02
R_precuneus,0.01,1911,7663,9574,rh,0.1368537324431657,1.0093210312302154,0.002797305702097332,0.083532002893634,0.0827605888602368,584,0.01
R_rostralanteriorcingulate,-0.1,1911,7663,9574,rh,0.2607243987946873,1.033429829319268,0.005329236071271647,0.0855272612201966,0.0827605888602368,584,-0.1
R_rostralmiddlefrontal,-0.04,1911,7663,9574,rh,0.192271968463831,1.0183165077012926,0.003930060686950684,0.0842764738234588,0.0827605888602368,584,-0.04
R_superiorfrontal,-0.08,1911,7663,9574,rh,0.1426994383762407,1.0101302538350658,0.002916792589648359,0.0835989746329305,0.0827605888602368,584,-0.08
R_superiorparietal,0.03,1911,7663,9574,rh,0.1081804550791144,1.0058344848239815,0.002211220683907647,0.0832434542599656,0.0827605888602368,584,0.03
R_superiortemporal,-0.03,1911,7663,9574,rh,0.1130545562343416,1.006370375500662,0.002310847860388044,0.0832878048879324,0.0827605888602368,584,-0.03
R_supramarginal,-0.05,1911,7663,9574,rh,0.1349963545396925,1.0090708675504445,0.0027593406885929113,0.0835112992001847,0.0827605888602368,584,-0.05
R_frontalpole,-0.06,1911,7663,9574,rh,0.3308039802832321,1.0532954349902164,0.006761670608487594,0.0871713504435895,0.0827605888602368,584,-0.06
R_temporalpole,0.01,1911,7663,9574,rh,0.3205953854095554,1.0501339919962125,0.0065530057796902,0.0869097075597577,0.0827605888602368,584,0.01
R_transversetemporal,-0.05,1911,7663,9574,rh,0.1930159768564547,1.018457248647115,0.003945268302277937,0.0842881216270118,0.0827605888602368,584,-0.05
R_insula,-0.12,1911,7663,9574,rh,0.3167477759911346,1.0489657542528878,0.006474360209902312,0.0868130235161914,0.0827605888602368,584,-0.12
